gene_id	color	description
Tb927.10.4160	tan	predicted zinc finger protein
Tb927.10.4170	grey60	"hypothetical protein, conserved"
Tb927.10.420	green	Exocyst complex component EXO99
Tb927.10.4200	yellow	"hypothetical protein, conserved"
Tb927.10.4210	red	Basal body protein
Tb927.10.4220	magenta	"hypothetical protein, conserved"
Tb927.10.4230	green	"hypothetical protein, conserved"
Tb927.10.4240	darkgreen	"hypothetical protein, conserved"
Tb927.10.4250	blue	"ADP-ribosylation factor-like 2, arl2"
Tb927.10.4260	turquoise	"hypothetical protein, conserved"
Tb927.10.4270	tan	"coatomer subunit zeta, putative"
Tb927.10.4280	pink	ubiquinol-cytochrome c reductase complex 14 kda protein
Tb927.10.4290	tan	"hypothetical protein, conserved"
Tb927.10.430	black	"peroxidase, putative"
Tb927.10.4300	tan	Trk system potassium uptake protein
Tb927.10.4310	pink	"prohibitin 2, putative"
Tb927.10.4320	yellow	"hypothetical protein, conserved"
Tb927.10.440	brown	"hypothetical protein, conserved"
Tb927.10.4440	cyan	predicted SAP domain protein
Tb927.10.450	darkgrey	Component of motile flagella 62
Tb927.10.4500	green	cap guanine-N7 methyltransferase
Tb927.10.4520	turquoise	"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatas, putative"
Tb927.10.4530	green	"hypothetical protein, conserved"
Tb927.10.4540	brown	"ARP2/3 complex subunit, putative"
Tb927.10.4550	blue	"hypothetical protein, conserved"
Tb927.10.4560	black	elongation factor 2
Tb927.10.4570	green	elongation factor 2
Tb927.10.4580	red	"hypothetical protein, conserved"
Tb927.10.4590	blue	"mitochondrial inner membrane signal peptidase, putative"
Tb927.10.460	grey60	NIMA-related protein kinase
Tb927.10.4610	turquoise	"dolicholphosphate-mannose synthase, putative"
Tb927.10.4630	cyan	"hypothetical protein, conserved"
Tb927.10.4640	magenta	eukaryotic translation initiation factor 3 subunit l
Tb927.10.4650	yellow	"hypothetical protein, conserved"
Tb927.10.4660	turquoise	"Transcription factor S-II (TFIIS), central domain containing protein, putative"
Tb927.10.4670	cyan	"hypothetical protein, conserved"
Tb927.10.4680	turquoise	"Mutt-Nudix-related hydrolase 5, putative"
Tb927.10.4690	tan	"dynein light chain, putative"
Tb927.10.470	black	"choline dehydrogenase, putative"
Tb927.10.4700	purple	"dolicholphosphate-mannose synthase, putative"
Tb927.10.4710	magenta	"proteasome subunit beta type-2, putative"
Tb927.10.4720	grey	"Ankyrin repeats (many copies), putative"
Tb927.10.4730	tan	"ribonuclease HII, putative"
Tb927.10.4750	black	"hypothetical protein, conserved"
Tb927.10.4760	turquoise	"Integral membrane protein DUF106, putative"
Tb927.10.4770	tan	"phosphatidylinositol-4-phosphate 5-kinase, putative"
Tb927.10.4780	turquoise	GPI inositol deacylase precursor
Tb927.10.4790	greenyellow	"hypothetical protein, conserved"
Tb927.10.480	yellow	"hypothetical protein, conserved"
Tb927.10.4830	magenta	"hypothetical protein, conserved"
Tb927.10.4840	darkgreen	"transcription factor IIa, putative"
Tb927.10.4850	blue	"hypothetical protein, conserved"
Tb927.10.4860	green	"hypothetical protein, conserved"
Tb927.10.4870	purple	"tRNA-dihydrouridine synthase 2, putative"
Tb927.10.4880	pink	"hypothetical protein, conserved"
Tb927.10.4890	red	"zinc-finger of a C2HC-type, putative"
Tb927.10.4900	red	"TPR-repeat-containing chaperone protein DNAJ, putative"
Tb927.10.4910	lightcyan	mitochondrial carrier protein
Tb927.10.4920	red	"hypothetical protein, conserved"
Tb927.10.4940	green	Nuclear Dbf2-related kinase
Tb927.10.4950	yellow	U2 small nuclear ribonucleoprotein 16.5K
Tb927.10.4970	pink	"hypothetical protein, conserved"
Tb927.10.4980	red	"ubiquitin-like protein DSK2, putative"
Tb927.10.5010	black	"Elongation factor G1, mitochondrial, putative"
Tb927.10.5020	brown	Eukaryotic translation initiation factor 4E type 5
Tb927.10.5030	lightyellow	"ubiquitin/ribosomal protein S27a, putative"
Tb927.10.510	green	Present in the outer mitochondrial membrane proteome 19
Tb927.10.5110	green	KREPA4
Tb927.10.5120	salmon	KREPA6
Tb927.10.5130	blue	"Protein C21orf2 homolog, putative"
Tb927.10.5140	pink	Mitogen-activated protein kinase 6
Tb927.10.5150	magenta	"zinc finger protein family member, putative"
Tb927.10.5160	red	hypothetical protein
Tb927.10.5170	magenta	"XPC-binding domain containing protein, putative"
Tb927.10.520	black	"Mitochondrial ATP synthase subunit, putative"
Tb927.10.5340	purple	"40S ribosomal protein S18, putative"
Tb927.10.5350	greenyellow	"dynein heavy chain, putative"
Tb927.10.5390	yellow	"hypothetical protein, conserved"
Tb927.10.540	green	"ATP-dependent RNA helicase SUB2, putative"
Tb927.10.5400	greenyellow	"hypothetical protein, conserved"
Tb927.10.5420	pink	"hypothetical protein, conserved"
Tb927.10.5430	pink	"Flagellar C1a complex subunit C1a-32, putative"
Tb927.10.5440	lightyellow	RNA editing endoribonuclease
Tb927.10.5450	salmon	ISWI complex protein
Tb927.10.5460	cyan	"60S ribosomal protein L24, putative"
Tb927.10.5480	purple	"60S ribosomal protein L24, putative"
Tb927.10.5490	grey	predicted HORMA domain protein
Tb927.10.550	red	"hypothetical protein, conserved"
Tb927.10.5500	black	"NADH-ubiquinone oxidoreductase complex I subunit, putative"
Tb927.10.5510	tan	"endonuclease/exonuclease/phosphatase, putative"
Tb927.10.5520	black	"AmmeMemoRadiSam system protein B, putative"
Tb927.10.5530	lightyellow	"hypothetical protein, conserved"
Tb927.10.5540	green	"hypothetical protein, conserved"
Tb927.10.5550	darkgreen	"hypothetical protein, conserved"
Tb927.10.5560	purple	GPI alpha-mannosyltransferase III
Tb927.10.5570	green	"hypothetical protein, conserved"
Tb927.10.5580	pink	"hypothetical protein, conserved"
Tb927.10.5590	yellow	"protein phosphatase 2C, putative"
Tb927.10.560	black	"40S ribosomal proteins S11, putative"
Tb927.10.5600	red	"hypothetical protein, conserved"
Tb927.10.5610	lightyellow	"40S ribosomal protein S9, putative"
Tb927.10.5630	green	"hypothetical protein, conserved"
Tb927.10.5640	turquoise	"Gem-associated protein 2, putative"
Tb927.10.5650	yellow	"hypothetical protein, conserved"
Tb927.10.5660	brown	"heat shock protein, putative"
Tb927.10.5670	pink	"N-acetyltransferase subunit Nat1, putative"
Tb927.10.5680	green	"procyclin-associated gene 1 (PAG1) protein, putative"
Tb927.10.5690	cyan	"procyclin-associated gene 2 (PAG2) protein, putative"
Tb927.10.570	lightgreen	"Sec8 exocyst complex component specific domain containing protein, putative"
Tb927.10.5700	turquoise	Enriched in surface-labeled proteome protein 3
Tb927.10.5710	blue	"hypothetical protein, conserved"
Tb927.10.5740	pink	"Protein of unknown function (DUF778), putative"
Tb927.10.5750	blue	"Extradiol ring-cleavage dioxygenase, putative"
Tb927.10.5760	black	"adenylate kinase, putative"
Tb927.10.5770	yellow	Valosin-containing protein
Tb927.10.5780	pink	"amino acid tansporter, putative"
Tb927.10.5790	yellow	"hypothetical protein, conserved"
Tb927.10.580	blue	"hypothetical protein, conserved"
Tb927.10.5800	red	"hypothetical protein, conserved"
Tb927.10.5810	grey60	"The ARF-like 2 binding protein BART, putative"
Tb927.10.5820	yellow	predicted RanGDP binding protein
Tb927.10.5830	purple	"hypothetical protein, conserved"
Tb927.10.5840	brown	"translation elongation factor 1-beta, putative"
Tb927.10.5850	pink	"N-terminal region of Chorein, a TM vesicle-mediated sorter, putative"
Tb927.10.5860	darkgreen	"hypothetical protein, conserved"
Tb927.10.5870	black	Flagellum attachment zone protein 25
Tb927.10.5880	greenyellow	"Proteophosphoglycan, putative"
Tb927.10.5890	magenta	"Galactose oxidase, central domain containing protein, putative"
Tb927.10.5900	blue	"hypothetical protein, conserved"
Tb927.10.5910	blue	Basal body protein
Tb927.10.5920	yellow	"hypothetical protein, conserved"
Tb927.10.5930	darkturquoise	"NEK family Serine/threonine-protein kinase, putative"
Tb927.10.5940	tan	"NEK family Serine/threonine-protein kinase, putative"
Tb927.10.5950	magenta	"Serine/threonine-protein kinase NEK17, putative"
Tb927.10.600	lightgreen	Mitochondrial ribosomal protein L29
Tb927.10.6070	royalblue	universal minicircle sequence binding protein 1
Tb927.10.610	pink	"hypothetical protein, conserved"
Tb927.10.6150	pink	"neurobeachin/beige protein, putative"
Tb927.10.6160	blue	"Sec34-like family, putative"
Tb927.10.6170	grey60	"hypothetical protein, conserved"
Tb927.10.6180	black	FLA1-like protein
Tb927.10.6190	lightgreen	"aldehyde dehydrogenase, putative"
Tb927.10.620	magenta	"hypothetical protein, conserved"
Tb927.10.6200	pink	"hypothetical protein, conserved"
Tb927.10.6210	red	"TPR repeat, putative"
Tb927.10.6220	black	5'-3' exoribonuclease D
Tb927.10.6230	grey60	MORN repeat containing protein
Tb927.10.6240	turquoise	"ras-like small GTPase, putative"
Tb927.10.6260	orange	"ATP-dependent DEAD/H RNA helicase, putative"
Tb927.10.6280	magenta	"N-terminal glutamine amidase, putative"
Tb927.10.630	yellow	"hypothetical protein, conserved"
Tb927.10.6360	tan	FAZ-tip-localizing protein required for cytokinesis
Tb927.10.6370	midnightblue	"60S ribosomal proteins L37, putative"
Tb927.10.6380	purple	ring finger containing protein
Tb927.10.6390	yellow	"hypothetical protein, conserved"
Tb927.10.640	pink	"arginine N-methyltransferase, type II"
Tb927.10.6400	green	"chaperonin HSP60, mitochondrial precursor"
Tb927.10.6410	yellow	"DNA mismatch repair protein MSH6, putative"
Tb927.10.6430	darkred	hypothetical protein
Tb927.10.6440	lightyellow	phosphomannomutase
Tb927.10.6450	turquoise	"2OG-Fe(II) oxygenase superfamily, putative"
Tb927.10.6460	yellow	"protein phosphatase 2B, putative"
Tb927.10.6470	black	hypothetical protein
Tb927.10.6480	turquoise	"hypothetical protein, conserved"
Tb927.10.6490	yellow	"KIAA1430 homologue, putative"
Tb927.10.650	red	Component of motile flagella 17
Tb927.10.6500	blue	"amino acid transporter, putative"
Tb927.10.6510	purple	"chaperonin HSP60, mitochondrial precursor"
Tb927.10.6520	red	"hypothetical protein, conserved"
Tb927.10.6530	blue	"dolichyl-P-Man:GDP-Man5GlcNAc2-PP-dolichyl alpha-1,3-mannosyltransferase, putative"
Tb927.10.6540	black	"kinetoplastid-specific phospho-protein phosphatase, putative"
Tb927.10.6560	brown	"Protein of unknown function DUF72, putative"
Tb927.10.6580	royalblue	hypothetical protein
Tb927.10.6590	black	"hypothetical protein, conserved"
Tb927.10.6600	green	"hypothetical protein, conserved"
Tb927.10.6610	yellow	"chaperone protein DnaJ, putative"
Tb927.10.6620	darkturquoise	"hypothetical protein, conserved"
Tb927.10.6630	lightcyan	"ATP-dependent RNA helicase DBP2A, putative"
Tb927.10.6640	brown	transmembrane emp24 domain-containing protein
Tb927.10.6650	tan	"G10 protein homologue, putative"
Tb927.10.6680	lightgreen	member of the NOL1/NOP2/sun family of proteins
Tb927.10.6690	blue	protein tyrosine phosphatase 1
Tb927.10.6700	yellow	Kinetochore interacting protein 3
Tb927.10.6710	blue	"hypothetical protein, conserved"
Tb927.10.6730	pink	"Plasma-membrane choline transporter, putative"
Tb927.10.6740	cyan	"Plasma-membrane choline transporter, putative"
Tb927.10.6750	turquoise	"Plasma-membrane choline transporter, putative"
Tb927.10.6770	yellow	"BRCA1 C Terminus (BRCT) domain containing protein, putative"
Tb927.10.6780	yellow	"vacuolar protein sorting-associated protein 45, putative"
Tb927.10.6790	grey60	Gamma-tubulin complex component 3-like protein
Tb927.10.680	yellow	"Protein of unknown function (DUF971), putative"
Tb927.10.6800	turquoise	"developmentally regulated GTP-binding protein, putative"
Tb927.10.6810	green	"guanylate kinase, putative"
Tb927.10.6820	midnightblue	"hypothetical protein, conserved"
Tb927.10.6840	yellow	"hypothetical protein, conserved"
Tb927.10.6850	midnightblue	"Mitochondrial ribosomal protein S18, putative"
Tb927.10.6860	turquoise	endonuclease v
Tb927.10.6870	tan	"short-chain dehydrogenase, putative"
Tb927.10.690	green	"palmitoyl acyltransferase 3, putative"
Tb927.10.6960	blue	"hypothetical protein, conserved"
Tb927.10.6980	yellow	"caltractin, putative"
Tb927.10.6990	turquoise	"hypothetical protein, conserved"
Tb927.10.700	blue	"hypothetical protein, conserved"
Tb927.10.7000	darkturquoise	"hypothetical protein, conserved"
Tb927.10.7020	darkgreen	"acid phosphatase, putative"
Tb927.10.7030	midnightblue	"hypothetical protein, conserved"
Tb927.10.7040	tan	"hypothetical protein, conserved"
Tb927.10.7050	red	"chromatin assembly factor 1 subunit B, putative"
Tb927.10.7060	grey60	Nucleoporin NUP96
Tb927.10.7080	red	"ATP-dependent DEAD/H RNA helicase, putative"
Tb927.10.7090	turquoise	"Alternative oxidase, mitochondrial"
Tb927.10.7110	turquoise	Myo-inositol 1-phosphate synthase
Tb927.10.7120	blue	"hypothetical protein, conserved"
Tb927.10.7130	lightcyan	"hypothetical protein, conserved"
Tb927.10.7140	turquoise	membrane-bound acid phosphatase 2
Tb927.10.7170	orange	hypothetical protein
Tb927.10.7180	pink	"cysteine-rich, acidic integral membrane protein precursor"
Tb927.10.7190	white	"D-tyrosyl-tRNA deacylase, putative"
Tb927.10.720	lightgreen	Flagellum attachment zone protein 24
Tb927.10.7200	lightgreen	"TPR repeat, putative"
Tb927.10.7210	black	Flagellum attachment zone protein 17
Tb927.10.7220	grey	"hypothetical protein, conserved"
Tb927.10.7230	lightcyan	Flagellar Member 1
Tb927.10.7240	red	kinetoplastid kinetochore protein 14
Tb927.10.7250	turquoise	"hypothetical protein, conserved"
Tb927.10.7270	red	"hypothetical protein, conserved"
Tb927.10.7280	lightcyan	"pre-mRNA splicing factor ATP-dependent RNA helicase, putative"
Tb927.10.7290	black	Flagellar Member 2
Tb927.10.730	purple	"ATP synthase, putative"
Tb927.10.7300	midnightblue	"hypothetical protein, conserved"
Tb927.10.7310	salmon	"terminal uridylyltransferase 3, putative"
Tb927.10.7320	turquoise	"hypothetical protein, conserved"
Tb927.10.7330	purple	"40S ribosomal protein S24E, putative"
Tb927.10.7340	purple	"40S ribosomal protein S24E, putative"
Tb927.10.7350	darkorange	"hypothetical protein, conserved"
Tb927.10.7360	turquoise	"ATP-binding cassette protein, putative"
Tb927.10.7370	lightyellow	"hypothetical protein, conserved"
Tb927.10.7375	cyan	hypothetical protein
Tb927.10.7380	blue	"LSU ribosomal protein, mitochondrial, putative"
Tb927.10.7390	red	"PHF5-like protein, putative"
Tb927.10.740	red	"structural maintenance of chromosome 4, putative"
Tb927.10.7400	green	predicted zinc finger protein
Tb927.10.7410	greenyellow	"succinyl-CoA ligase [GDP-forming] beta-chain, putative"
Tb927.10.7420	yellow	"bromodomain factor 2 protein, putative"
Tb927.10.7430	yellow	"GTP-binding protein, putative"
Tb927.10.7440	green	ATP-dependent RNA helicase MTR4
Tb927.10.7450	turquoise	Ribosomal RNA processing protein 41A
Tb927.10.7460	green	hypothetical protein
Tb927.10.7470	brown	"RNA-binding protein, putative"
Tb927.10.7480	black	"hypothetical protein, conserved"
Tb927.10.7490	turquoise	"cullin 2, putative"
Tb927.10.750	cyan	"hypothetical protein, conserved"
Tb927.10.7500	lightyellow	fibrillarin
Tb927.10.7510	cyan	"chromatin binding protein, putative"
Tb927.10.7520	yellow	"folylpolyglutamate synthase, putative"
Tb927.10.7540	black	"VRR-NUC domain containing protein, putative"
Tb927.10.7570	purple	"dihydrolipoamide acetyltransferase E2 subunit, putative"
Tb927.10.7580	brown	"hypothetical protein, conserved"
Tb927.10.7590	green	"hypothetical protein, conserved"
Tb927.10.760	black	"hypothetical protein, conserved"
Tb927.10.7600	brown	"Centrosomal protein POC5, putative"
Tb927.10.7610	greenyellow	"NADH-ubiquinone oxidoreductase complex I subunit, putative"
Tb927.10.7620	darkorange	"mitochondrial ATP-dependent zinc metallopeptidase, putative"
Tb927.10.7630	pink	transportin2- like protein
Tb927.10.7670	tan	"Protein of unknown function (DUF2962), putative"
Tb927.10.7680	royalblue	"GTPase activating protein, putative"
Tb927.10.7690	darkorange	Component of motile flagella 4
Tb927.10.770	green	"RF-1 domain containing protein, putative"
Tb927.10.7700	pink	ATP-binding cassette protein subfamily G
Tb927.10.7710	red	"40S ribosomal protein S8, putative"
Tb927.10.7740	lightgreen	protein transport protein SEC23
Tb927.10.7750	cyan	"hypothetical protein, conserved"
Tb927.10.7760	blue	"hypothetical protein, conserved"
Tb927.10.7770	blue	hypothetical protein
Tb927.10.7780	red	Mitogen-activated protein kinase KFR1
Tb927.10.7790	tan	"ubiquitin fusion degradation protein, putative"
Tb927.10.780	brown	"Ring finger domain containing protein, putative"
Tb927.10.7800	turquoise	"cop9 signalosome complex subunit, putative"
Tb927.10.7810	grey60	"Pre-rRNA-processing protein ESF1, putative"
Tb927.10.7830	magenta	"hypothetical protein, conserved"
Tb927.10.7840	turquoise	"hypothetical protein, conserved"
Tb927.10.7850	blue	"protein-L-isoaspartate, putative"
Tb927.10.7860	purple	"hypothetical protein, conserved"
Tb927.10.7890	grey60	"hypothetical protein, conserved"
Tb927.10.790	orange	"vesicle-associated membrane protein, putative"
Tb927.10.7900	yellow	"hypothetical protein, conserved"
Tb927.10.7910	green	"RNA editing complex protein, putative"
Tb927.10.7920	red	"hypothetical protein, conserved"
Tb927.10.7925	turquoise	hypothetical protein
Tb927.10.7930	salmon	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"
Tb927.10.7940	green	"methyltransferase, putative"
Tb927.10.7960	red	"hypothetical protein, conserved"
Tb927.10.7970	turquoise	"Organic solute transporter Ostalpha, putative"
Tb927.10.7980	turquoise	"hypothetical protein, conserved"
Tb927.10.7985	midnightblue	hypothetical protein
Tb927.10.7990	red	"replication factor C subunit 3, putative"
Tb927.10.800	pink	"hypothetical protein, conserved"
Tb927.10.8000	darkred	"hypothetical protein, conserved"
Tb927.10.8010	turquoise	"hypothetical protein, conserved"
Tb927.10.8020	white	prolyl endopeptidase
Tb927.10.8030	salmon	Mitochondrial ATP synthase subunit 5
Tb927.10.8040	blue	"beta adaptin, putative"
Tb927.10.8050	black	"TFIIF-stimulated CTD phosphatase, putative"
Tb927.10.8060	green	"SET domain containing protein, putative"
Tb927.10.8070	blue	"ATPase, putative"
Tb927.10.8080	red	"Uncharacterized conserved protein (DUF2042), putative"
Tb927.10.8090	brown	"hypothetical protein, conserved"
Tb927.10.810	white	"Pentatricopeptide repeat protein (PPR), putative"
Tb927.10.8100	cyan	"hypothetical protein, conserved"
Tb927.10.8110	turquoise	"Protein of unknown function (DUF2453), putative"
Tb927.10.8115	yellow	hypothetical protein
Tb927.10.8130	blue	"hypothetical protein, conserved"
Tb927.10.8140	turquoise	"EVE domain containing protein, putative"
Tb927.10.8150	cyan	Bromodomain factor 1
Tb927.10.8160	brown	"hypothetical protein, conserved"
Tb927.10.8170	yellow	Nucleoporin NUP144
Tb927.10.8180	yellow	"hypothetical protein, conserved"
Tb927.10.8190	black	"T-complex protein 1, theta subunit, putative"
Tb927.10.820	grey60	"hypothetical protein, conserved"
Tb927.10.8200	pink	"Ribosomal protein L1p/L10e family, putative"
Tb927.10.8210	greenyellow	KREPA2
Tb927.10.8220	green	"hypothetical protein, conserved"
Tb927.10.8230	turquoise	protein disulfide isomerase 2
Tb927.10.8240	tan	"hypothetical protein, conserved"
Tb927.10.830	black	"adenylate kinase, putative"
Tb927.10.8300	tan	U1A small nuclear ribonucleoprotein
Tb927.10.8310	yellow	histone acetyltransferase
Tb927.10.8320	pink	"cytochrome oxidase subunit IX, putative"
Tb927.10.8370	blue	"hypothetical protein, conserved"
Tb927.10.8375	yellow	hypothetical protein
Tb927.10.8380	brown	"hypothetical protein, conserved"
Tb927.10.8390	darkorange	"Concanavalin A-like lectin/glucanases superfamily/SPRY domain/HECT-domain (ubiquitin-transferase), putative"
Tb927.10.840	lightcyan	Flagellum attachment zone protein 6
Tb927.10.8400	tan	"legume-like lectin, putative"
Tb927.10.8410	black	"hypothetical protein, conserved"
Tb927.10.8420	salmon	Phosphatidylinositol 3-kinase tor1
Tb927.10.850	grey60	"hook complex protein, conserved"
Tb927.10.8530	black	glucose transporter 2A
Tb927.10.8540	brown	"chaperone protein DnaJ, putative"
Tb927.10.8560	white	"small GTPase, putative"
Tb927.10.8570	cyan	"hypothetical protein, conserved"
Tb927.10.8580	red	"ADP-ribosylation factor-like protein 3b, putative"
Tb927.10.8585	turquoise	hypothetical protein
Tb927.10.8590	greenyellow	flagellum transition zone component
Tb927.10.8600	cyan	"Vps54-like protein, putative"
Tb927.10.8610	salmon	"hypothetical protein, conserved"
Tb927.10.8620	purple	"hypothetical protein, conserved"
Tb927.10.8630	green	"Sucrase/ferredoxin-like, putative"
Tb927.10.8640	yellow	"Galactose oxidase, central domain containing protein, putative"
Tb927.10.8650	turquoise	"ran binding protein, putative"
Tb927.10.8660	turquoise	"Fis1 C-terminal tetratricopeptide repeat, putative"
Tb927.10.8670	turquoise	"hypothetical protein, conserved"
Tb927.10.8680	brown	"hypothetical protein, conserved"
Tb927.10.8690	midnightblue	"TIGR00269 family protein, putative"
Tb927.10.870	lightcyan	Furrow 1 protein
Tb927.10.8700	blue	"selenoprotein, putative"
Tb927.10.8710	tan	centrin-3
Tb927.10.8720	lightcyan	"CCR4-NOT transcription complex subunit 10, putative"
Tb927.10.8730	darkgreen	"ABC1 family, putative"
Tb927.10.8740	royalblue	hypothetical protein
Tb927.10.8770	turquoise	"disgorgin, putative"
Tb927.10.8780	greenyellow	"AAA domain containing protein, putative"
Tb927.10.8790	turquoise	"OTU-like cysteine protease, putative"
Tb927.10.880	magenta	thymidine kinase
Tb927.10.8800	tan	SUMO-interacting motif-containing protein
Tb927.10.8810	red	"hypothetical protein, conserved"
Tb927.10.8820	royalblue	"hook complex protein, conserved"
Tb927.10.8830	darkgrey	Flagellum attachment zone protein 5
Tb927.10.8840	midnightblue	SUMO-interacting motif-containing protein
Tb927.10.8850	magenta	"A distinct subfamily of CDD/CDA-like deaminases, putative"
Tb927.10.8860	turquoise	"hypothetical protein, conserved"
Tb927.10.8870	blue	"Myosin-like coiled-coil protein, putative"
Tb927.10.8880	turquoise	RNA interference factor 4
Tb927.10.8890	greenyellow	"kinetoplast DNA-associated protein, putative"
Tb927.10.890	darkturquoise	"kinesin, putative"
Tb927.10.8900	darkturquoise	choline/ethanolamine phosphotransferase (CEPT)
Tb927.10.8910	grey60	Nucleoporin NUP181
Tb927.10.8920	green	"ras-like small GTPase, putative"
Tb927.10.8930	grey60	"paraflagellar rod component, putative"
Tb927.10.8940	salmon	"flagellum targeting protein kharon1, putative"
Tb927.10.8950	red	kinetoplast-associated protein 4 isoform 1
Tb927.10.8960	tan	"hypothetical protein, conserved"
Tb927.10.8970	red	kinetoplast-associated protein 4 isoform 2
Tb927.10.8980	red	"hypothetical protein, conserved"
Tb927.10.8990	royalblue	"hypothetical protein, conserved"
Tb927.10.900	blue	"hypothetical protein, conserved"
Tb927.10.9000	yellow	Mitochondrial processome subunit 2
Tb927.10.9010	midnightblue	"leucine-rich repeat protein (LRRP), putative"
Tb927.10.9020	greenyellow	"Gcd10p family, putative"
Tb927.10.9040	greenyellow	"hypothetical protein, conserved"
Tb927.10.9050	pink	"pseudouridine synthase TruD, putative"
Tb927.10.9060	red	"hypothetical protein, conserved"
Tb927.10.9070	cyan	"hypothetical protein, conserved"
Tb927.10.9080	pink	"pteridine transporter, putative"
Tb927.10.9090	purple	"Cullin binding, putative"
Tb927.10.910	red	DNA repair and recombination helicase protein PIF6
Tb927.10.9110	orange	"hypothetical protein, conserved"
Tb927.10.9120	cyan	"hypothetical protein, conserved"
Tb927.10.9130	pink	"pre-mRNA splicing factor ATP-dependent RNA helicase, putative"
Tb927.10.9140	tan	"FAD dependent oxidoreductase, putative"
Tb927.10.9150	turquoise	"hypothetical protein, conserved"
Tb927.10.9160	red	"Cyclin 12, L-type"
Tb927.10.9170	blue	"hypothetical protein, conserved"
Tb927.10.9200	green	"Nuclease-related domain containing protein, putative"
Tb927.10.9210	yellow	"hypothetical protein, conserved"
Tb927.10.9220	darkgreen	"hypothetical protein, conserved"
Tb927.10.9230	yellow	"beta adaptin, putative"
Tb927.10.9240	green	"Tir chaperone protein (CesT) family, putative"
Tb927.10.9250	tan	"adenylyl cyclase-associated protein, putative"
Tb927.10.9260	black	"hypothetical protein, conserved"
Tb927.10.9270	red	"emp24/gp25L/p24 family/GOLD, putative"
Tb927.10.9280	red	"hypothetical protein, conserved"
Tb927.10.9290	turquoise	"Phosphoseryl-tRNA Kinase, putative"
Tb927.10.930	darkorange	"hypothetical protein, conserved"
Tb927.10.9300	blue	adiponectin receptor protein 1
Tb927.10.9310	purple	"Haemolysin-III related, putative"
Tb927.10.9320	purple	"hypothetical protein, conserved"
Tb927.10.9330	black	"hypothetical protein, conserved"
Tb927.10.9340	salmon	hypothetical protein
Tb927.10.9350	lightcyan	"hypothetical protein, conserved"
Tb927.10.9360	turquoise	"L-2-hydroxyglutarate dehydrogenase, mitochondrial, putative"
Tb927.10.9370	green	"hypothetical protein, conserved"
Tb927.10.9380	turquoise	"SEP domain/UBX domain containing protein, putative"
Tb927.10.9390	tan	"Macrocin-O-methyltransferase (TylF), putative"
Tb927.10.940	blue	"hypothetical protein, conserved"
Tb927.10.9400	turquoise	splicing factor 1
Tb927.10.9410	white	Selenophosphate synthetase 2
Tb927.10.9420	red	"mitochondrial chaperone BCS1, putative"
Tb927.10.9430	darkorange	"phosphoribosylpyrophosphate synthetase, putative"
Tb927.10.9440	black	NADH dehydrogenase
Tb927.10.9445	midnightblue	hypothetical protein
Tb927.10.9450	turquoise	"invariant surface glycoprotein, putative"
Tb927.10.9465	turquoise	hypothetical protein
Tb927.10.950	cyan	"hypothetical protein, conserved"
Tb927.10.9560	blue	"oxidoreductase, putative"
Tb927.10.9570	lightgreen	"paraflagellar rod component, putative"
Tb927.10.9590	green	"hypothetical protein, conserved"
Tb927.10.9600	darkgreen	"CMGC/DYRK protein kinase, putative"
Tb927.10.9610	darkgreen	hypothetical protein
Tb927.10.9620	pink	NADH-ubiquinone oxidoreductase c
Tb927.10.9640	royalblue	"hypothetical protein, conserved"
Tb927.10.9650	lightgreen	Nucleoporin NUP152
Tb927.10.9660	yellow	"Splicing factor CRN, putative"
Tb927.10.9670	yellow	"ADP-ribosylation factor family, putative"
Tb927.10.9680	turquoise	"SET domain containing protein, putative"
Tb927.10.9690	darkgrey	predicted C2 domain protein
Tb927.10.970	darkorange	"Tetratricopeptide repeat, putative"
Tb927.10.9700	black	Flagellum attachment zone protein 22
Tb927.10.9720	pink	RNA-editing-associated protein 1
Tb927.10.9730	blue	"hypothetical protein, conserved"
Tb927.10.9740	tan	Regulatory particle triple-A ATPase subunit 6
Tb927.10.9750	black	"ubiquitin-protein ligase, putative"
Tb927.10.9760	pink	alternative oxidase
Tb927.10.9770	magenta	gamma-tubulin complex component 2
Tb927.10.9780	green	"ATP-dependent DEAD/H RNA helicase, putative"
Tb927.10.9790	salmon	"hypothetical protein, conserved"
Tb927.10.980	yellow	"RNA polymerase III transcription factor (TF)IIIC subunit, putative"
Tb927.10.9800	black	60S ribosomal protein L22
Tb927.10.9810	black	"hypothetical protein, conserved"
Tb927.10.9820	pink	mitochondrial intermediate peptidase
Tb927.10.9830	purple	"Mitochondrial ATP synthase subunit, putative"
Tb927.10.9840	red	"chaperone protein DnaJ, putative"
Tb927.10.9850	tan	"amino acid transporter, putative"
Tb927.10.9860	turquoise	"Mitochondrial N(5)-glutamine methyltransferase MTQ1, putative"
Tb927.10.9870	red	Component of motile flagella 12
Tb927.10.9880	salmon	"60S ribosomal protein L18, putative"
Tb927.10.9890	green	"hypothetical protein, conserved"
Tb927.10.990	turquoise	Enriched in surface-labeled proteome protein 6
Tb927.10.9900	green	"ABC1 protein, putative"
Tb927.10.9910	black	"PSP1 C-terminal conserved region, putative"
